DATE,TIME,NUMBER,TYPE,
2002/1/4,Friday,(509) 575-3571,Probation,
2002/1/4,Friday,(509) 575-6091,Human Services (Personnel),
2002/1/4,Friday,(509) 575-6184,City Attorney,
2002/1/4,Friday,(509) 965-2405,Private Alderwood Phone Number 20,
2002/1/4,Friday,(509) 965-2405,Private Alderwood Phone Number 20,
2002/1/5,Saturday,,,
2002/1/6,Sunday,41 041 410 67 08,,
2002/1/7,Monday,(509) 575-5111,Receptionist/Information,
2002/1/7,Monday,(509) 965-4951,Starbuck's Coffee Shop 3,
2002/1/7,Monday,(509) 575-6038,City Clerk,
2002/1/7,Monday,(509) 575-5111,Receptionist/Information,
2002/1/7,Monday,(509) 575-6091,Human Services (Personnel),
2002/1/7,Monday,(509) 575-5111,Receptionist/Information,
2002/1/7,Monday,(509) 575-6091,Human Services (Personnel),
2002/1/7,Monday,(509) 248-3854,Arctic Circle 1,
2002/1/7,Monday,(509) 575-6091,Human Services (Personnel),
2002/1/7,Monday,(509) 575-5111,Receptionist/Information,
2002/1/7,Monday,(509) 575-6091,Human Services (Personnel),
2002/1/7,Monday,(509) 575-6184,City Attorney,
2002/1/7,Monday,(509) 575-6184,City Attorney,
2002/1/8,Tuesday,(509) 965-4951,Starbuck's Coffee Shop 3,
2002/1/8,Tuesday,(509) 575-5111,Receptionist/Information,
2002/1/8,Tuesday,(509) 575-6091,Human Services (Personnel),
2002/1/8,Tuesday,(509) 575-6184,City Attorney,
2002/1/8,Tuesday,(509) 575-6091,Human Services (Personnel),
2002/1/8,Tuesday,(509) 575-6184,City Attorney,
2002/1/8,Tuesday,(509) 575-6091,Human Services (Personnel),
2002/1/9,Wednesday,(509) 575-6201,Police Patrol,
2002/1/10,Thursday,(509) 575-6184,City Attorney,
2002/1/10,Thursday,(509) 453-5589,Crossroads Donuts,
2002/1/11,Friday,(509) 575-3571,Probation,
2002/1/11,Friday,(509) 575-5111,Receptionist/Information,
2002/1/11,Friday,(509) 575-6021,Parks and Recreation,
2002/1/12,Saturday,41 041 242 16 16,,
2002/1/13,Sunday,,,
2002/1/14,Monday,(509) 453-3806,Private Alderwood Phone Number 19,
2002/1/15,Tuesday,(509) 575-5111,Receptionist/Information,
